,Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
0,1,Argentina,7,6.0,0,1,15,8.0,7,18
1,2,France,7,5.0,0,2,16,8.0,8,15
2,3,Croatia,7,4.0,2,1,8,7.0,1,14
3,4,Morocco,7,4.0,1,2,6,5.0,1,13
4,5,England,5,3.0,1,1,13,4.0,9,10
5,6,Netherlands,5,3.0,1,1,10,4.0,6,10
6,7,Portugal,5,3.0,0,2,12,6.0,6,9
7,8,Brazil,5,3.0,0,2,8,3.0,5,9
8,9,Japan,4,2.0,0,2,5,4.0,1,6
9,10,Senegal,4,2.0,0,2,5,7.0,-2,6
10,11,Australia,4,2.0,0,2,4,6.0,-2,6
11,12,Switzerland,4,2.0,0,2,5,9.0,-4,6
12,13,USA,4,1.0,2,1,3,4.0,-1,5
13,14,Spain,4,1.0,1,2,9,3.0,6,4
14,15,Poland,4,1.0,1,2,3,5.0,-2,4
15,16,South Korea,4,1.0,1,2,5,8.0,-3,4
16,17,Germany,3,1.0,1,1,6,5.0,1,4
17,18,Ecuador,3,1.0,1,1,4,3.0,1,4
18,19,Cameroon,3,1.0,1,1,4,4.0,0,4
19,20,Uruguay,3,1.0,1,1,2,2.0,0,4
20,21,Tunisia,3,1.0,1,1,1,1.0,0,4
21,22,Mexico,3,1.0,1,1,2,3.0,-1,4
22,23,Belgium,3,1.0,1,1,1,2.0,-1,4
23,24,Ghana,3,1.0,0,2,5,7.0,-2,3
25,26,Iran,3,1.0,0,2,4,7.0,-3,3
26,27,Costa Rica,3,1.0,0,2,3,11.0,-8,3
27,28,Denmark,3,0.0,1,2,1,3.0,-2,1
28,29,Serbia,3,0.0,1,2,5,8.0,-3,1
30,31,Canada,3,0.0,0,3,2,7.0,-5,0
31,32,Qatar,3,0.0,0,3,1,7.0,-6,0
